##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	MW2_S4_R1_001.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5432751
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	32
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.855443218362115	32.0	32.0	32.0	32.0	32.0
2	31.365250496479593	32.0	32.0	32.0	32.0	32.0
3	31.482642035315074	32.0	32.0	32.0	32.0	32.0
4	31.497709723858133	32.0	32.0	32.0	32.0	32.0
5	31.505995029037773	32.0	32.0	32.0	32.0	32.0
6	34.85428984321203	36.0	36.0	36.0	36.0	36.0
7	34.877694192132125	36.0	36.0	36.0	36.0	36.0
8	34.8703196594138	36.0	36.0	36.0	36.0	36.0
9	34.89642632250217	36.0	36.0	36.0	36.0	36.0
10-14	34.88403326417868	36.0	36.0	36.0	35.2	36.0
15-19	34.85396772279827	36.0	36.0	36.0	34.4	36.0
20-24	34.781462614428676	36.0	36.0	36.0	32.0	36.0
25-29	34.63939344910157	36.0	36.0	36.0	32.0	36.0
30-34	34.51265320276965	36.0	36.0	36.0	32.0	36.0
35-39	34.36995337140725	36.0	36.0	36.0	32.0	36.0
40-44	34.21061507874879	36.0	36.0	36.0	32.0	36.0
45-49	33.97727476183369	36.0	36.0	36.0	32.0	36.0
50-54	33.763895650810234	36.0	36.0	36.0	29.0	36.0
55-59	33.56908978035476	36.0	36.0	36.0	27.0	36.0
60-64	33.39477039527746	36.0	33.6	36.0	27.0	36.0
65-69	33.14897332653396	36.0	32.0	36.0	27.0	36.0
70-74	32.91422407809857	36.0	32.0	36.0	25.8	36.0
75-79	32.65462331596708	36.0	32.0	36.0	21.0	36.0
80-84	32.29257260678135	36.0	32.0	36.0	21.0	36.0
85-89	31.817256701118367	36.0	32.0	36.0	15.4	36.0
90-94	31.27213660840257	35.2	30.0	36.0	14.0	36.0
95-99	30.564044375698654	32.0	27.0	36.0	14.0	36.0
100-104	29.821508354980956	32.0	27.0	36.0	14.0	36.0
105-109	29.174306560787443	32.0	27.0	36.0	14.0	36.0
110-114	28.660616410718404	32.0	27.0	34.4	14.0	36.0
115-119	28.310991704089815	32.0	27.0	32.0	14.0	36.0
120-124	28.057479743572866	32.0	27.0	32.0	14.0	36.0
125-129	27.86397091420008	32.0	23.4	32.0	14.0	36.0
130-134	27.684917903348396	32.0	21.0	32.0	14.0	36.0
135-139	27.514733634104864	32.0	21.0	32.0	14.0	36.0
140-144	27.31428828913996	32.0	21.0	32.0	14.0	36.0
145-149	27.096751975804118	32.0	21.0	32.0	14.0	36.0
150-151	24.516803417155117	26.5	17.5	29.5	14.0	34.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.14468947765592688
11101	2	0.21675861201510216
11101	3	0.12526886788518965
11101	4	0.14138554869807862
11101	5	0.03737793091827868
11101	6	0.09450014293240372
11101	7	0.1711730302852601
11101	8	0.15432849663869064
11101	9	-0.01170773356012944
11101	10-14	0.15712711480118458
11101	15-19	0.15768963329121988
11101	20-24	0.055657488278150424
11101	25-29	0.04507529456201098
11101	30-34	0.07746128496158633
11101	35-39	0.024095711801265907
11101	40-44	-0.04897706261829882
11101	45-49	0.07173528493908776
11101	50-54	0.18464562736154022
11101	55-59	0.23472860126519635
11101	60-64	0.138871076216752
11101	65-69	0.16008198238192506
11101	70-74	0.09261735769052848
11101	75-79	-0.17624883436646144
11101	80-84	-0.2953525013314646
11101	85-89	-0.6789664196730101
11101	90-94	-0.61528076156549
11101	95-99	-0.2978936572061883
11101	100-104	-0.992259029085357
11101	105-109	-0.3690510221309715
11101	110-114	-0.0690128720070291
11101	115-119	0.10249272521846109
11101	120-124	0.11195157341206752
11101	125-129	0.27778430222136663
11101	130-134	0.17880522360573536
11101	135-139	0.031319202579890515
11101	140-144	0.15149302421732713
11101	145-149	0.111895728336453
11101	150-151	-0.23014447738359678
11102	1	0.061187140883969704
11102	2	-0.03926562866708849
11102	3	-0.0180620168943868
11102	4	-0.09837976274731375
11102	5	-0.021948929716430143
11102	6	-0.004718182895580014
11102	7	-0.030071473776146718
11102	8	0.07873472235276324
11102	9	0.14161564586989073
11102	10-14	-0.001640304529608727
11102	15-19	0.04854135739243759
11102	20-24	0.09943789558974458
11102	25-29	0.12853717696755496
11102	30-34	0.1813896168577216
11102	35-39	0.04845283622299945
11102	40-44	0.03900226239784388
11102	45-49	0.09046988406198864
11102	50-54	0.05432831084173273
11102	55-59	0.17684927133615957
11102	60-64	0.2465438131645925
11102	65-69	0.08751444049064361
11102	70-74	0.045495053935361796
11102	75-79	0.1099408430757336
11102	80-84	-0.07392589166033758
11102	85-89	-0.08143706470340462
11102	90-94	-0.2659257431103299
11102	95-99	-0.5379653952552914
11102	100-104	0.28452110924405005
11102	105-109	0.3028195998343506
11102	110-114	0.23706468597164232
11102	115-119	0.2843647895623036
11102	120-124	0.33619587098960935
11102	125-129	0.39493586333718156
11102	130-134	0.3805504045280621
11102	135-139	0.29187702575466545
11102	140-144	0.26757446572750254
11102	145-149	0.19653587650283555
11102	150-151	0.13454332335866326
11103	1	0.10068389668199984
11103	2	0.0690149442881669
11103	3	0.050908145427968066
11103	4	4.2751593973733293E-4
11103	5	0.05235676615928142
11103	6	0.15824122529014062
11103	7	0.10461342328498802
11103	8	0.16964983427212132
11103	9	0.08921168098360965
11103	10-14	0.10303987777433576
11103	15-19	0.10232741967212888
11103	20-24	0.15869464779558484
11103	25-29	0.1493709031973225
11103	30-34	0.18296838697963835
11103	35-39	0.17566510363550947
